Vg,Id,Is,Ig,Vd,Rt,Drain Current (nA),|IG| (pA),gm
2.84,5.976e-11,-2.2063e-10,1.6787e-10,0.05,836680053.547523,0.059759999999999994,167.87,4.084999999999998e-10
2.86,7.547e-11,-2.3155e-10,1.9825e-10,0.05,662514906.585398,0.07547,198.25,3.407499999999999e-10
2.88,7.339e-11,-2.325e-10,1.7082e-10,0.05,681291729.118408,0.07339000000000001,170.82000000000002,1.5700000000000018e-10
2.9,8.175e-11,-2.4592e-10,1.5843e-10,0.05,611620795.107034,0.08175,158.42999999999998,9.074999999999992e-11
2.92,7.702e-11,-2.4597e-10,1.2096e-10,0.05,649182030.641392,0.07701999999999999,120.96,7.974999999999985e-11
2.94,8.494e-11,-2.5333e-10,1.6361e-10,0.05,588650812.338121,0.08494,163.60999999999999,2.3824999999999967e-10
2.96,8.655e-11,-2.5313e-10,1.797e-10,0.05,577700751.010976,0.08655,179.70000000000002,3.539999999999994e-10
2.98,9.91e-11,-2.5552e-10,2.0055e-10,0.05,504540867.810293,0.0991,200.54999999999998,4.5349999999999973e-10
3.0,1.0469e-10,-2.6471e-10,1.5902e-10,0.05,477600534.912599,0.10469,159.02,1.9300000000000006e-10
3.02,1.0682e-10,-2.7173e-10,1.3826e-10,0.05,468077139.112526,0.10682,138.26,1.2299999999999968e-10
3.04,1.0961e-10,-2.7631e-10,1.413e-10,0.05,456162758.872366,0.10961,141.29999999999998,1.3399999999999974e-10
3.06,1.1218e-10,-2.7631e-10,1.6234e-10,0.05,445712248.17258,0.11217999999999999,162.34,4.739999999999998e-10
3.08,1.2857e-10,-2.853e-10,1.9577e-10,0.05,388893209.924555,0.12857,195.77,4.1449999999999976e-10
3.1,1.2876e-10,-2.8654e-10,1.6824e-10,0.05,388319353.836595,0.12876,168.24,2.117499999999998e-10
3.12,1.3704e-10,-3.0249e-10,1.5859e-10,0.05,364856976.065382,0.13704,158.59,1.0799999999999963e-10
3.14,1.3308e-10,-3.0353e-10,1.2057e-10,0.05,375713856.327021,0.13308,120.57000000000001,1.7249999999999997e-10
3.16,1.4394e-10,-3.1016e-10,1.6243e-10,0.05,347366958.454912,0.14393999999999998,162.43,3.29e-10
3.18,1.4624e-10,-3.1161e-10,1.7862e-10,0.05,341903719.912473,0.14624,178.62,4.742499999999997e-10
3.2,1.6291e-10,-3.1558e-10,1.9967e-10,0.05,306917930.145479,0.16291,199.67,5.49499999999999e-10
3.22,1.6822e-10,-3.243e-10,1.6058e-10,0.05,297229818.095351,0.16821999999999998,160.58,1.9399999999999912e-10
3.24,1.7067e-10,-3.3255e-10,1.4154e-10,0.05,292963028.065858,0.17067,141.54000000000002,1.7975000000000364e-10
3.26,1.7541e-10,-3.3975e-10,1.3586e-10,0.05,285046462.573399,0.17540999999999998,135.86,1.7975000000000282e-10
3.28,1.7786e-10,-3.4037e-10,1.6373e-10,0.05,281119982.008321,0.17786,163.73000000000002,3.839999999999995e-10
3.3,1.9077e-10,-3.5027e-10,1.883e-10,0.05,262095717.355978,0.19077,188.3,4.7275e-10
3.32,1.9677e-10,-3.5352e-10,1.7073e-10,0.05,254103775.982111,0.19677,170.73,3.5449999999999996e-10
3.34,2.0495e-10,-3.6859e-10,1.6061e-10,0.05,243961941.937058,0.20495,160.61,1.709999999999995e-10
3.36,2.0361e-10,-3.7052e-10,1.239e-10,0.05,245567506.507539,0.20361,123.9,3.1574999999999987e-10
